IATA,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,State.Name,State.Name2
ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944,New Mexico,New Mexico
ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856,Alaska,Alaska
ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,Georgia,Georgia
AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194,Texas,Texas
BDL,Bradley International,Windsor Locks,CT,USA,41.93887417,-72.68322833,Connecticut,Connecticut
BHM,Birmingham International,Birmingham,AL,USA,33.56294306,-86.75354972,Alabama,Alabama
BNA,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222,Tennessee,Tennessee
BOS,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917,Massachusetts,Massachusetts
BUF,Buffalo Niagara Intl,Buffalo,NY,USA,42.94052472,-78.73216667,New York,New York
BUR,Burbank-Glendale-Pasadena,Burbank,CA,USA,34.20061917,-118.3584969,California,California
BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,Maryland,Maryland
CHS,Charleston AFB International,Charleston,SC,USA,32.89864639,-80.04050583,South Carolina,South Carolina
CLE,Cleveland-Hopkins Intl,Cleveland,OH,USA,41.41089417,-81.84939667,Ohio,Ohio
CLT,Charlotte Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583,North Carolina,North Carolina
CMH,Port Columbus Intl,Columbus,OH,USA,39.99798528,-82.89188278,Ohio,Ohio
CVG,Cincinnati Northern Kentucky Intl,Covington,KY,USA,39.04614278,-84.6621725,Kentucky,Kentucky
DAL,Dallas Love,Dallas,TX,USA,32.84711389,-96.85177222,Texas,Texas
DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222,Virginia,Virginia
DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019,Colorado,Colorado
DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372,Texas,Texas
DTW,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583,Michigan,Michigan
ELP,El Paso International,El Paso,TX,USA,31.80666667,-106.3778056,Texas,Texas
EWR,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056,New Jersey,New Jersey
FLL,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,26.07258333,-80.15275,Florida,Florida
HNL,Honolulu International,Honolulu,HI,USA,21.31869111,-157.9224072,Hawaii,Hawaii
HOU,William P X,Houston,TX,USA,29.64541861,-95.27888889,Texas,Texas
IAD,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972,Virginia,Virginia
IAH,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222,Texas,Texas
IND,Indianapolis International,Indianapolis,IN,USA,39.71732917,-86.29438417,Indiana,Indiana
JAX,Jacksonville International,Jacksonville,FL,USA,30.49405556,-81.68786111,Florida,Florida
JFK,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556,New York,New York
LAS,McCarran International,Las Vegas,NV,USA,36.08036111,-115.1523333,Nevada,Nevada
